Name,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21
Mira,183,173,100,70,70,29,34,57,44,49,23,28,14,20,14,15,21
Miranda,30,25,9,11,11,7,8,13,8,7,6,5,7,2,3,4,5
Mitzi,286,235,122,95,95,60,52,58,49,86,63,43,26,32,23,26,43
Moe,141,119,78,32,32,25,26,28,22,34,23,18,14,16,10,5,21
Molly,1295,1432,833,502,502,338,281,333,416,482,334,246,165,131,155,100,218
Monique,41,48,22,18,18,19,15,14,14,15,14,11,5,5,5,11,11
Monty,26,35,14,16,16,10,9,9,12,11,7,11,6,5,3,2,3
Moose,21,27,11,11,11,4,8,16,9,12,2,3,3,2,1,4,5
Mott,35,28,23,11,11,7,6,3,10,9,5,4,3,1,0,2,1
Muffy,348,399,207,140,140,72,67,91,85,89,63,46,38,33,31,23,53
Murphy,75,96,57,43,43,25,16,22,21,29,23,20,14,10,7,9,10
Nan,161,177,92,80,80,50,39,41,50,48,34,29,18,11,20,8,26
Nana,132,103,77,42,42,25,25,42,38,49,33,19,17,15,17,7,13
Naomi,24,30,18,7,7,10,8,9,8,10,10,9,3,5,0,2,10
Nate,83,95,46,29,29,20,18,21,20,16,15,14,10,7,6,2,9
Nibbles,114,95,51,38,38,27,19,19,24,31,22,13,14,11,8,2,18
Norma,121,110,52,39,39,24,29,40,38,38,26,17,10,13,13,9,16
O'Hare,115,115,63,47,47,35,23,33,31,34,26,30,61,14,13,14,17
Octavian,711,765,439,301,301,192,162,156,176,183,148,98,77,58,49,54,82
Olaf,80,68,39,32,32,19,11,16,15,14,5,13,4,11,4,1,6
Olive,93,124,63,44,44,26,29,25,21,42,29,18,14,10,11,8,18
Olivia,199,211,102,92,92,49,49,60,54,69,56,31,15,21,25,14,39
Opal,66,33,30,33,33,20,24,25,29,30,26,9,10,6,7,3,9
Ozzie,294,282,151,101,101,66,50,63,58,84,60,49,23,27,17,15,30
Pancetti,25,19,22,10,10,4,9,3,6,8,9,6,5,0,5,2,4
Pango,75,69,50,26,26,30,16,10,19,14,8,9,3,2,3,4,6
Paolo,81,41,18,22,22,14,22,15,9,16,18,9,8,3,7,5,6
Papi,167,152,124,79,79,52,49,44,51,63,49,41,26,19,13,15,22
Pashmina,441,461,256,183,183,113,117,127,125,126,83,62,52,47,48,35,68
Pate,100,87,51,38,38,31,29,24,29,33,26,13,9,10,4,5,3
Patty,91,93,53,36,36,23,24,19,24,29,23,12,11,10,7,8,11
Paula,23,29,26,9,9,15,10,7,6,12,8,4,6,1,3,5,6
Peaches,30,43,24,24,24,13,11,6,10,10,9,13,4,2,3,4,4
Peanut,289,315,179,91,91,59,69,66,60,75,49,44,37,28,26,22,28
Pecan,86,78,51,54,54,38,33,31,32,40,31,23,18,12,10,10,17
Peck,36,32,22,17,17,5,13,7,8,9,8,8,2,4,2,3,4
Peewee,50,32,12,13,13,9,8,12,10,17,14,10,7,8,2,1,5
Peggy,48,41,23,16,16,12,17,12,17,16,10,4,6,3,2,5,5
Pekoe,482,518,313,213,213,127,112,114,113,122,112,91,46,43,44,42,60
Penelope,29,24,43,14,14,13,6,11,23,20,22,18,16,3,4,3,9
Phil,125,122,87,44,44,28,22,27,24,22,19,12,8,9,5,6,9
Phoebe,303,340,204,134,134,82,65,94,94,92,80,55,31,42,29,23,46
Pierce,91,88,41,30,30,12,21,20,14,28,17,9,6,5,7,12,13
Pietro,1101,1088,524,296,296,190,167,157,182,172,130,112,62,71,49,43,74
Pinky,145,139,59,51,51,30,26,38,40,46,38,27,16,19,15,13,15
Piper,140,123,52,43,43,26,23,28,33,29,26,15,8,14,11,5,24
Pippy,50,59,30,25,25,22,18,17,30,35,24,9,11,3,6,5,2
Plucky,87,83,32,19,19,19,16,21,20,18,13,12,10,7,8,1,9
Pompom,72,91,76,51,51,28,32,41,27,40,30,17,21,12,17,4,10
Poncho,142,130,116,57,57,40,47,39,68,62,52,31,23,11,16,10,22
Poppy,650,915,618,415,415,275,232,236,242,259,199,138,87,64,70,49,88
Portia,72,75,59,39,39,37,17,26,22,28,21,13,18,15,12,3,17
Prince,73,73,46,27,27,17,17,21,15,17,18,9,14,8,12,5,5
