Name,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21
Twiggy,86,92,56,25,25,18,21,14,16,25,23,10,12,8,5,5,13
Tybalt,76,64,47,27,27,19,22,19,17,24,6,8,7,7,6,7,11
Ursala,75,74,59,22,22,21,22,23,29,26,21,3,13,14,15,7,10
Velma,26,23,22,19,19,9,9,7,7,5,15,4,8,2,2,1,5
Vesta,187,161,116,58,58,45,41,36,42,49,43,28,14,16,15,8,22
Vic,41,47,22,22,22,10,10,16,8,13,15,8,5,5,6,2,4
Victoria,46,50,20,29,29,19,16,15,24,18,14,13,8,5,6,4,9
Violet,24,27,12,10,10,11,4,4,4,12,2,4,0,3,4,1,2
Vivian,143,165,93,73,73,47,37,48,45,55,31,33,19,13,19,16,24
Vladimir,53,51,35,26,26,20,16,9,10,21,12,17,9,6,7,1,11
Wade,242,249,149,83,83,74,60,49,53,59,32,29,17,24,16,11,27
Walker,150,133,99,59,59,34,35,31,36,49,21,21,16,12,8,12,12
Walt,93,112,63,50,50,31,22,21,19,27,29,19,13,13,8,10,18
Wart Jr.,77,66,53,42,42,22,17,12,18,22,17,5,13,7,4,7,13
Weber,82,98,67,39,39,15,19,25,15,28,26,20,21,15,9,5,22
Wendy,238,200,87,72,72,37,37,40,28,40,47,32,17,19,16,15,19
Whitney,720,689,417,254,254,194,170,166,176,184,148,105,54,58,55,48,93
Willow,95,123,91,50,50,49,38,39,47,45,35,27,13,11,15,9,13
Winnie,58,45,28,18,18,20,11,17,21,22,21,17,9,7,10,5,11
Wolfgang,420,385,212,157,157,108,99,106,124,135,128,79,61,36,31,33,86
Yuka,63,57,37,27,27,21,21,20,29,25,21,12,13,12,7,9,15
Zell,424,441,274,192,192,142,107,112,100,119,103,72,52,40,33,27,63
Zucker,3079,2881,1573,1036,1036,654,602,684,674,734,558,413,297,268,214,198,346
